tipo_polinico,granos_de_polen_x_metro_cubico,fecha
Olivo,14.0,2023-05-11
Olivo,5.0,2023-05-12
Olivo,5.0,2023-05-13
Olivo,8.0,2023-05-14
Olivo,9.0,2023-05-15
Olivo,9.0,2023-05-16
Olivo,23.0,2023-05-17
Olivo,19.0,2023-05-18
Olivo,13.0,2023-05-19
Olivo,10.0,2023-05-20
Olivo,35.0,2023-05-21
Olivo,30.0,2023-05-22
Olivo,10.0,2023-05-23
Olivo,31.0,2023-05-24
Olivo,17.0,2023-05-25
Olivo,8.0,2023-05-26
Olivo,16.0,2023-05-27
Olivo,1.0,2023-05-28
Olivo,1.0,2023-05-29
Olivo,3.0,2023-05-30
Olivo,1.0,2023-05-31
Olivo,1.0,2023-06-01
Olivo,2.0,2023-06-02
